model,regime,n_days,mean_crps,median_crps,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,coverage_95
RandomWalk,calm,1472,0.01767582014136667,0.012542651829047784,0.623641304347826,0.7126358695652174,0.8016304347826086,0.8770380434782609,0.9327445652173914,0.9592391304347826
RandomWalk,volatile,670,0.028433324750529832,0.019533061768707963,0.41044776119402987,0.4791044776119403,0.5701492537313433,0.682089552238806,0.7791044776119403,0.8567164179104477
RandomWalk,all,2142,0.021040679192785586,0.013824949740202947,0.5569561157796452,0.6395891690009337,0.7292250233426704,0.8160597572362278,0.88468720821662,0.927170868347339
EWMA(lambda=0.94),calm,1472,0.017486515140419167,0.012350746553444666,0.5658967391304348,0.6542119565217391,0.748641304347826,0.8308423913043478,0.9028532608695652,0.938858695652174
EWMA(lambda=0.94),volatile,670,0.02825908156582339,0.019956448594007282,0.45671641791044776,0.5477611940298508,0.6432835820895523,0.7402985074626866,0.8417910447761194,0.9074626865671642
EWMA(lambda=0.94),all,2142,0.020856085404201065,0.014228834519993044,0.5317460317460317,0.6209150326797386,0.7156862745098039,0.8025210084033614,0.8837535014005602,0.9290382819794585
